sentence,implied_statement
america was founded by white people  you do realize that  right ?,Minorities are unworthy of citizenship.
racist kkk cops shooting @ other cops is strategy of #alec clans to vilify ! otherwise  cameras will identify shooter !,Cops are racists
racist kkk cops shooting @ other cops is strategy of #alec clans to vilify ! otherwise  cameras will identify shooter !,Cops are violent racists.
you get the european situation where large amounts of non employed non educated immigrants come to europe and start their micro-communities here with high crime rates and all sorts of problem like in the uk and also in the nl and germany 2 /,Immigrants are criminals
you get the european situation where large amounts of non employed non educated immigrants come to europe and start their micro-communities here with high crime rates and all sorts of problem like in the uk and also in the nl and germany 2 /,Immigrants are criminals.
happy white genocide,White people should die.
happy white genocide,Minorities are killing the white race
has #jewish #communism been successful in #america ? leave a comment and tell us what you think . #marxism #israel,Jews are incompetent
and as poor as they are  the predominantly white areas are still safer .,Minorities destroy their communities
jews have their own ethnostate yet dehumazice any white gentile who wants the same . hypocrites .,Jews don't like white people.
jews have their own ethnostate yet dehumazice any white gentile who wants the same . hypocrites .,Jews hold double standards
another war for israel . more white people will die for ( ( ( them ) ) ) and their greediness,Jews are greedy
another war for israel . more white people will die for ( ( ( them ) ) ) and their greediness,Jews are avaricious.
they won't be happy until another white man ( ) falls to his knees and cucks out . #maga,anti-white
they won't be happy until another white man ( ) falls to his knees and cucks out . #maga,White males are weak and feeble
